product_category,en,nl,de,fr
Kettle,Electric kettle,Waterkoker,Wasserkocher,Bouilloire électrique
Kettle,Kettle,Ketel,Kessel,Bouilloire
Kettle,Tea urn,Theeketel / theekan,Tea urn,Tea urn
Lamp,Ceiling lamp,Plafondlamp,Deckenlampe,Lampe de plafond / plafonnier
Lamp,Desk lamp,Bureaulamp,Schreibtischlampe,Lampe de bureau
Lamp,Disco lamp,Discolamp,Disco-Lampe,Lampe disco
Lamp,Floor lamp,Staande lamp / Schemerlamp,Stehlampe / Stehleuchte,Lampe sur pied
Lamp,Halogen lamp,Halogeenlamp,Halogenlampe,Lampe halogène
Lamp,Infrared lamp,Infraroodlamp,Infrarot-Lampe,Lampe à infrarouge
Lamp,Lamp / lighting,Lamp / Verlichting,Lampe / Beleuchtung,Lampe / éclairage
Lamp,Mosquito lamp,Muggenlamp,Mückenlampe,Lampe antimoustique
Lamp,Outdoor lamp,Buitenlamp,Außenlampe / Außenleuchte,Lampe d'extérieur
Lamp,Solar lamp,Solarlamp / Lamp op zonne-energie,Solarlampe,Lampe solaire
Lamp,Table lamp,Tafellamp,Tischlampe / Tischleuchte,Lampe de table
Lamp,UV lamp,UV-lamp,UV-Lampe,Lampe UV
Laptop,Laptop,Laptop,Laptop,Laptop / Ordinateur portable
Large home electrical,Built-in oven,Inbouwoven,Einbaubackofen,Four encastrable
Large home electrical,Concrete mixer,Betonmixer,Betonmischer,Mélangeur à béton
Large home electrical,Dishwasher,Vaatwasser / Afwasmachine,Geschirrspüler,Lave-vaisselle
Large home electrical,E-bike,E-bike,E-bike,Vélo électrique
Large home electrical,Edge cutter,Kantenknipper,Kantenschneider,Coupe bordure
Large home electrical,Electric bed,Elektrisch bed,Bett elektrisch,Lit électrique
Large home electrical,Electric fence,Elektrisch hek,Elektrischer Zaun,Clôture électrique
Large home electrical,Electric lawnmower,Elektrische grasmaaier,Rasenmäher elektrisch,Tondeuse à gazon électrique
Large home electrical,Exercise bike,Hometrainer,Heimtrainer,Vélo d'appartement
Large home electrical,Extractor hood,Afzuigkap,Dunstabzugshaube,Hotte aspirante
Large home electrical,Fitness machine,Fitnessapparaat,Fittnessgerät,Appareil fitness
Large home electrical,Fridge,Koelkast,Kühlschrank,Frigo
Large home electrical,Garden mulcher / garden shredder / wood chipper,Hakselaar / versnipperaar (voor tuin),Häcksler / Shredder (für Garten),Broyeur de végétaux
Large home electrical,Generator,Stroomaggregaat,Stromaggregat,Groupe électrogène
Large home electrical,Grass shears,Grasschaar,Grasschere,Cisailles à gazon
Large home electrical,Kid's motor bike,Kindermotorfiets,Kindermotorrad,Motocyclette pour enfants
Large home electrical,Lawn edge cutter,Graskantsteker,Kantenstecher,Dresse-bordures
Large home electrical,Lawn mower / lawn raker,Grasmaaier,Rasenmäher,Tondeuse à gazon
Large home electrical,Massage chair,Massagestoel,Massagestuhl,Siège massage
Large home electrical,Metal detector,Metaaldetector,Metalldetektor,Détecteur de métaux
Large home electrical,Microwave,Magnetron / Microgolf,Mikrowelle,Four à micro-ondes
Large home electrical,Microwave oven,Combimagnetron,Kombi-Mikrowelle,Micro-ondes combiné
Large home electrical,Mobile whirlpool bath,Mobiel bubbelbad,Whirlpool mobil,Bain à remous portable
Large home electrical,Mobility scooter,Scootmobiel,Elektromobil,Scooter sénior
Large home electrical,Mop machine,Dweilmachine,Putzmaschine,Serpillière électrique
Large home electrical,Motorised jockey wheel / Mover (for caravan),Mover (voor caravan),Mover (für Wohnwagen) /,Roue jockey motorisée / Mover (pour caravane)
Large home electrical,Robot lawn mower,Robotmaaier,Roboter-Rasenmäher,Tondeuse robotique
Large home electrical,Steam cleaner,Stoomreiniger,Dampfreiniger,Nettoyeur vapeur / balai vapeur
Large home electrical,Stove,Kachel,Heizung,Poêle
Large home electrical,Sunbed,Zonnebank,Sonnenbank,Banc solaire
Large home electrical,Treadmill,Loopband,Laufband,Tapis de course
Large home electrical,Trouser press,Broekenpers,Hosenpresse,Presse-pantalon
Large home electrical,Tumble dryer,Wasdroger,Wäschetrockner,Sèche-linge
Large home electrical,Washing machine,Wasmachine,Waschmaschine,Lave-linge / machine à laver
Large home electrical,Water cooler,Waterkoeler,Wasserspender,Refroidisseur d'eau
Misc,3D printer,3D-printer,3D-Drucker,Imprimante 3D
Misc,Barometer,Barometer,Barometer,Baromètre
Misc,Beamer,Beamer,Beamer,Beamer
Misc,Bed wetting alarm,Plaswekker,Weckgerät bei Einnässen,Alarme pipi
Misc,Boxwood shears,Buxusschaar,Buxusschere,Cisailles à buis
Misc,Broom,Bezem,Besen,Balai
Misc,Cable reel,Kabelhaspel,Kabelrolle / Kabeltrommel,Dévidoir
Misc,Calculator,Rekenmachine,Rechenmaschine,Calculatrice
Misc,Capacitor,Condensator,Kondensator,Condensateur
Misc,Car key,Autosleutel,Autoschlüssel,Clé de voiture
Misc,Cassette tape,Cassettebandje,Kassette,Cassette
Misc,Cat repellent,Kattenverjager,Katzenschreck,Appareil anti-chats
Misc,Circuit board,Printplaat,Platine,Carte de circuit imprimé
Misc,Clothes hanger,Klerenhanger / Kleerhanger,Kleiderbügel,Cintre
Misc,Color enlarger,Kleurenvergroter,Farbvergrößerer,Agrandisseur couleur
Misc,Digit lock,Cijferslot,Zahlenschloss,Cadenas à chiffres / serrure à chiffres
Misc,Drying hood,Droogkap,Trockenhaube,Casque sèche-cheveux
Misc,E-cigarette,E-sigaret,E-Zigarette,E-cigarette
Misc,Energizer,Schrikdraadapparaat,Elektrozaungerät,Electrificateur
Misc,Film device,Filmapparaat,Filmgerät,Matériel cinéma
Misc,Fishing bite alarm,Beetmelder,Bissanzeiger,Détecteur de touche
Misc,Gourmet set,Gourmetstel,Gourmetgerät,Raclette gastronomique
Misc,Hearing aid,Gehoorapparaat,Hörgerät,Appareil auditif
Misc,Heat glove,Warmtehandschoen,Wärmehandschuh,Gant chauffant
Misc,Hose reel,Slanghaspel,Schlauchtrommel,Dévidoir tuyau d'arrosage
Misc,Hotstone device,Hotstone-apparaat,Hot-Stone-Gerät,Appareil chauffe pierres
Misc,Incubator (lab equipment),Incubator / Broedmachine (laboratoriumapparatuur),Inkubator / Brutschrank (Laborgeräte),Incubateur / Couveuse (matériel de laboratoire)
Misc,Inverter,Omvormer,Stromrichter / Wechselrichter,Convertisseur / Onduleur / Inverseur
Misc,LAN cable,LAN-kabel,LAN-Kabel,Câble LAN
Misc,Laser,Laser,Laser,Laser
Misc,Light meter,Lichtmeter,Belichtungsmesser,Posemètre
Misc,Lighter,Aansteker,Feuerzeug,Briquet
Misc,Listening aid,Luisterhulp,Hörhilfe,Assistant d'écoute
Misc,Loppers,Takkenschaar,Astschere,Cisaille à branches / Coupe branches
Misc,Megaphone,Megafoon,Megafon,Porte-voix
Misc,Metronome,Metronoom,Metronom,Métronome
Misc,Multitool,Multitool,Multifunktionswerkzeug,Outil multifonction / multitool
Misc,Other,Overig,Anderes,Divers
Misc,Pan,Pan,Kochtopf,Casserole
Misc,Personal alarm,Persoonsalarm,Notrufsystem für Pflege / Senioren,Alarme personne
Misc,PH meter,PH-meter,pH-Meter,pH-mètre
Misc,Salt shaker,Zoutstrooier,Salzstreuer,Moulin à sel
Misc,Scrubber,Schrobmachine,Bodenreiniger,Autolaveuse
Misc,SD card,SD-kaart,SD-Karte,Carte SD
Misc,Servomotor,Servomotor,Stellmotor / Servomotor,Servomoteur
Misc,Software,Software,Software,Logiciel
Misc,Suitcase gramophone,Koffergrammofoon,Grammofon tragbar,Phonographe portatif
Misc,Telelens,Telelens,Teleobjektiv,Téléobjectif
Misc,Telephone (not mobile or smartphone),Telefoon (geen mobiele of smartphone),Telefon (kein Handy oder Smartphone),Téléphone (pas de portable ou smartphone)
Misc,Thermometer,Thermometer,Thermometer,Thermomètre
Misc,Thermostat,Thermostaat,Thermostat,Thermostat
Misc,Tripod,Statief,Stativ,Pied
Misc,Typewriter,Typmachine,Schreibmaschine,Machine à écrire
Misc,Ultrasound machine,Echo-apparaat,Ultraschallgerät,Appareil d'échographie
Mobile,Mobile phone / cell phone (not smartphone),Mobiele telefoon (geen smartphone),Handy (kein Smartphone),Mobile (pas smartphone)
Mobile,Smartphone,Smartphone,Smartphone,Smartphone
Mobile,Telephone (not mobile or smartphone),Telefoon (geen mobiele of smartphone),Telefon (kein Handy oder Smartphone),Téléphone (pas de portable ou smartphone)
Musical instrument,Electric guitar,Elektrische gitaar,Elektrische Gitarre,Guitare électrique
Musical instrument,Electric piano,Elektrische piano,Klavier elektrisch,Piano électrique
Musical instrument,Home organ,Huisorgel,Heimorgel,Orgue portable
Musical instrument,Keyboard (musical instrument),Keyboard (muziekinstrument),Keyboard (Musikinstrument),Clavier électronique (instrument de musique)
Musical instrument,Musical instrument,Muziekinstrument,Musikinstrument,Instrument de musique
Musical instrument,Organ,Orgel,Orgel,Orgues
Musical instrument,Vibraphone,Vibrafoon,Vibrafon,Vibraphone
Paper shredder,Paper cutter / trimmer,Papiersnijplaat,Schneidematte,Presse à rogner
Paper shredder,Paper shredder,Papierversnipperaar,Aktenvernichter,Déchiqueteuse / Destructeur de papier
Paper shredder,Shredder,Hakselaar,Häcksler,Hache-paille
PC accessory,Apple pencil,Apple pencil,Apple pencil,Apple pencil
PC Accessory,CD ripper,Cd-brander,CD-Brenner,Graveur de CD
PC accessory,Computer mouse,Computermuis,Maus für Computer,Souris ordinateur
PC Accessory,Daisy player,Daisyspeler,Daisy-Spieler,Lecteur Daisy
PC accessory,Dockingstation,Dockingstation,Dockingstation,Station d'accueil
PC accessory,Extension cord,Verlengsnoer,Verlängerungskabel,Rallonge
PC accessory,Floppy drive,Floppydrive,Diskettenlaufwerk,Lecteur de disquettes
PC accessory,GPS plotter,GPS-plotter,GPS-Plotter,Traceur GPS
PC accessory,Hard disk,Harde schijf,Festplatte,Disque dur
PC Accessory,Joy stick,Joy stick,Joy stick,Joy stick / manette de jeu
PC accessory,Keyboard,Toetsenbord,Tastatur,Clavier
PC accessory,Microphone,Microfoon,Mikrofon,Microphone
PC accessory,Modem,Modem,Modem,Modem
PC accessory,Plug,Stekker,Stecker,Fiche mâle
PC accessory,Router,Router,Router,Routeur
PC accessory,Switch,Switch,Switch,Switch
PC accessory,Touchpad / trackpad,Touchpad / trackpad,Touchpad / Trackpad,Tablette tactile / touchpad / trackpad
PC accessory,Webcam,Webcam,Webcam,Webcam
Portable radio,Alarm clock radio,Wekkerradio,Radiowecker,Radio-réveil
Portable radio,DAB+ radio,DAB+ radio,DAB+ Radio,DAB+ radio
Portable radio,Radio,Radio,Radio,Radio
Portable radio,Radio / amplifier,Radio / versterker,Radio / Verstärker,Amplificateur RF
Portable radio,Radio / tape recorder,Radio / cassetterecorder,Radio- / Kassettenrekorder,Radiocassette
Portable radio,Suitcase radio,Kofferradio,Kofferradio,Radio valise
Power tool,Air compressor,Luchtcompressor,Luftkompressor,Compresseur d'air
Power tool,Air pump,Luchtpomp,Luftpumpe,Pompe à air
Power tool,Angle grinder / Disc cutter,Haakse slijper,Winkelschleifer,Meuleuse angulaire / Lapidaire
Power tool,Auger,Grondboor,Schneckenbohrer,Tarière
Power tool,Band saw,Lintzaag,Bandsäge,Scie à ruban
Power tool,Belt sander,Bandschuurmachine,Bandschleifmaschine,Ponceuse à bande / lime électrique
Power tool,Bench lathe,Tafeldraaibank,Tischdrehbank,Tour d'établi
Power tool,Bicycle pump / tyre inflator,Fietspomp,Luftpumpe Fahrrad,Pompe à vélo
Power tool,Chainsaw,Kettingzaag,Kettensäge,Tronçonneuse
Power tool,Circular saw,Cirkelzaag,Kreissäge,Scie circulaire
Power tool,Clipper / trimmer,Tondeuse / trimmer,Haarschneidemaschine / Tondeuse,Tondeuse multi-usage
Power tool,Compressor,Compressor,Kompressor,Compresseur
Power tool,Concrete drill,Betonboor,Betonbohrer,Perceuse à béton
Power tool,Cutting machine,Snijmachine,Schneidemaschine,Coupeuse
Power tool,Dremel tool,Dremel,Dremel,Dremel
Power tool,Drilling machine / Power drill,Boormachine,Bohrmaschine,Perceuse électrique
Power tool,Electric brushcutter,Elektrische bosmaaier,Elektrische Motorsense,Débroussailleuse électrique
Power tool,Electric drill / Power drill,Boormachine,Bohrmaschine,Perceuse électrique
Power tool,Electric hedge trimmer,Elektrische heggenschaar,Heckenschere elektrisch,Taille-haie électrique
Power tool,Electric saw,Elektrische zaag,Säge elektrisch,Scie électrique
Power tool,Electric screwdriver,Elektrische schroevendraaier,Schraubendreher elektrisch,Tournevis électrique
Power tool,Electric weed burner,Elektrische onkruidbrander,Elektrische Unkrautbrenner,Désherbeur thermique électrique
Power tool,Electric window wiper,Elektrische raamwisser,Fensterreiniger elektrisch,Lave-vitres électrique
Power tool,Fountain pump,Fonteinpomp,Springbrunnenpumpe,Pompe de fontaine
Power tool,Garden fork,Tuinvork / spitvork,Gartengabel / Spuckgabel,Fourchette de jardin
Power tool,Glue gun,Lijmpistool,Klebepistole,Pistolet à colle
Power tool,Grass trimmer,Grastrimmer,Rasentrimmer,Coupe-bordures / rotofil
Power tool,Grinder,Slijpmachine / slijptol,Schleifmaschine,Affûteuse
Power tool,Hammer blow drill,Hamerslagboor,Schlagbohrer,Marteau perforateur
Power tool,Hammer drill,Boorhamer / klopboormachine,Bohrhammer / Schlagbohrmaschine,Marteau perforateur / burineur / perceuse à percussion
Power tool,Hand circular saw,Handcirkelzaag,Handkreissäge,Scie circulaire à main
Power tool,Hand drill,Handboormachine,Handbohrmaschine,Perceuse à main électrique
Power tool,Heat gun / thermal stripper,Warmtekanon / Heteluchtpistool,Heißluftpistole,Décapeur thermique
Power tool,Heat pump,Warmtepomp,Wärmepumpe,Pompe à chaleur
Power tool,Hedge shear / hedge trimmer,Heggenschaar,Heckenschere,Taille-haie
Power tool,Jigsaw tool,Decoupeerzaag,Stichsäge,Scie sauteuse
Power tool,Leaf blower,Bladblazer,Laubbläser,Souffleur jardin
Power tool,Metal detector,Metaaldetector,Metalldetektor,Détecteur de métaux
Power tool,Milling cutter,Frees,Fräse,Fraise
Power tool,Miter saw,Verstekzaag / afkortzaag,Gehrungssäge,Scie à onglet
Power tool,Multitool,Multitool,Multifunktionswerkzeug,Outil multifonction / multitool
Power tool,Nail gun,Spijkerpistool,Nagelpistole,Pistolet à clous / cloueuse
Power tool,Nail milling machine,Nagelfreesmachine,Nagelfräser,Ponceuse à ongles
Power tool,Paint burner,Verfafbrander,Heißluftpistole,Brûleur à peinture
